phase_order,run_id,suite,approximate_date,dataset_or_source,evidence_class,result_class,result_summary,governed_winner,quality_only_winner,rag_compass_status,primary_baseline,delta,ci_low,ci_high,win_count,tie_count,loss_count,certificate,supports_claims,limits_claims,claim_boundary,source_type,sanitized_summary_path
11,square_next_sim_v1_full_matrix_20260803-152255-4ccb47600f,square_next_sim_v1,2026-08-03,SQUARE Next simulation package,development_simulation,CANDIDATE_SIGNAL_LATER_WEAKENED,305 / 305 succeeded; overall candidate signal; No-Fork won RAG hard-subset escalation; adaptive compute did not beat No-Fork; later evidence weakened No-Fork superiority claims.,,,No-Fork candidate signal later weakened,,,,,,,,Candidate signal,RAG robustness candidate signal,Later evidence weakened superiority claims.,Development/simulation only.,summarized_project_record,results/historical/selected_run_summaries/04_matched_cost_real_rag_kill_test.md
12,ragtune_real_rag_reproduction_v1_20260805-125017-f5a8e06009,ragtune_real_rag_reproduction_v1,2026-08-05,offline public real RAG candidate outputs,offline_public_real_rag_candidate_output,CANDIDATE_SIGNAL_LATER_LIMITED_BY_LOW_INFORMATION_CI,"Dataset rows 24,934; leakage and budget parity passed; RAG Compass won candidate-output ranking with delta +0.0488; later row-level reconstruction limited this to descriptive aggregate evidence.",RAG Compass / ragtune_no_fork,,candidate-output winner; later statistically limited,best_single_policy_on_validation,0.0488,0.0488,0.0488,10,0,0,Candidate external signal,descriptive candidate-output signal,Zero-width CI and row-level audit limited claim.,Not query-calibrated paper-ready evidence.,summarized_project_record,results/historical/selected_run_summaries/05_row_level_reconstruction.md
13,ragtune_real_rag_reproduction_v1_20260805-124641-f5a8e06009,ragtune_real_rag_reproduction_v1,2026-08-05,historical exact reproduction,reproducibility_refusal,REFUSED_CROSS_SPLIT_LEAKAGE,Refused due stricter leakage checker; found one normalized query duplicate across validation/test.,,,no supported RAG Compass claim,,,,,,,,Refused,leakage refusal discipline,Original reproduction refused.,"Refused result, not evidence of superiority.",summarized_project_record,results/historical/selected_run_summaries/05_row_level_reconstruction.md
14,ragtune_row_level_reconstruction_v1_20260806-132128-f0288cbe82,ragtune_row_level_reconstruction_v1,2026-08-06,row-level reconstruction audit,statistical_audit,AGGREGATE_ONLY_NOT_QUERY_CALIBRATED,"Formal answer NO_ONLY_AGGREGATE_POLICY_EVIDENCE; reconstructed rows 99,700; paired example-seed rows 49,850; unique test examples 4,985; unique paired deltas 1; query stddev 0.0; certificate inconclusive.",,,old candidate signal descriptive only,,0.0488,0.0488,0.0488,,,,Inconclusive,statistical audit preserved descriptive signal,Not paper-ready calibrated query-level uncertainty.,Aggregate-only evidence.,summarized_project_record,results/historical/selected_run_summaries/05_row_level_reconstruction.md
15,ragtune_end_to_end_public_development_v1_20260806-132203-ea168ea1dd,ragtune_end_to_end_public_development_v1,2026-08-06,G4KMU/t2-ragbench,public_end_to_end_development,RAG_COMPASS_NEAR_BEST_NOT_SUPERIOR,90 queries; leakage pass; greedy_coordinate_search ranked first; RAG Compass near-best with delta -0.0022188540 and CI crossing zero.,,,"near-best point estimate, not superior",greedy_coordinate_search,-0.0022188540,-0.0472236637,0.0428003602,,,,Inconclusive,public end-to-end development signal,RAG Compass not superior.,Development evidence only.,summarized_project_record,results/historical/selected_run_summaries/06_t2_ragbench_development_v2.md
16,ragtune_end_to_end_public_development_v2_20260806-191435-f897b4ce5d,ragtune_end_to_end_public_development_v2,2026-08-06,G4KMU/t2-ragbench,public_end_to_end_development,RAG_COMPASS_NOT_COMPETITIVE_DEVELOPMENT,"1,142 queries; leakage pass; greedy_regression_aware_search ranked first; RAG Compass ranked second with negative delta -0.0105501666 and CI crossing zero; research result NOT_COMPETITIVE.",,,negative development result for RAG Compass,greedy_regression_aware_search,-0.0105501666,-0.0250116868,0.0055010989,,,,Inconclusive,larger public development evidence,RAG Compass not competitive against primary baseline.,Development evidence; not confirmatory superiority.,summarized_project_record,results/historical/selected_run_summaries/06_t2_ragbench_development_v2.md
17,governance_confirmatory_attempts_blocked_summary,governance_confirmatory_attempts,2026-08-06,T2/public confirmatory attempts,governance_refusal,CONFIRMATORY_REFUSED_PROVENANCE_OR_DATA,"Multiple confirmatory attempts refused due Git provenance unavailable, insufficient fresh uninspected T2 data, or readiness failures.",,,no supported superiority claim,,,,,,,,Refused/blocked,framework refused invalid confirmatory claims,Confirmatory evidence not available from these attempts.,Governance refusal evidence.,summarized_project_record,results/historical/selected_run_summaries/15_unsupported_validation_areas.md
18,fresh_multihop_acquisition_readiness_summary,fresh_multihop_acquisition_readiness,2026-08-07,MultiHop-RAG,public_corpus_acquisition,FRESH_CORPUS_READY_AFTER_PROVENANCE_REPAIR,"MultiHop-RAG acquired and approved; fresh uninspected queries 2,556; documents 609; calibration 1,895, validation 330, confirmatory test 331; leakage 0; initial readiness blocked by strict Git provenance and later repaired.",,,setup for valid confirmatory evidence,,,,,,,,,fresh corpus readiness,Initial provenance block.,"Acquisition/readiness, not selection result.",summarized_project_record,results/historical/selected_run_summaries/07_multihop_confirmatory.md
19,ragtune_governed_selection_confirmatory_v2_20260807-195939-b7bc2f4168,ragtune_governed_selection_confirmatory_v2,2026-08-07,MultiHop-RAG,public_confirmatory,GOVERNANCE_NONINFERIOR_NOT_SUPERIOR,Confirmatory test size 331; governed and quality-only both selected RAG Compass; governance delta 0.0; win/tie/loss 0 / 331 / 0; RAG Compass ranked 3rd among base optimizers.,RAG Compass / ragtune_no_fork,RAG Compass / ragtune_no_fork,"selected by governance and quality-only, but not superior",greedy_regression_aware_search,0.0,0.0,0.0,0,331,0,Candidate external signal,public confirmatory noninferiority,No governance superiority; RAG Compass not best held-out rank.,"Confirmatory noninferiority, not superiority.",summarized_project_record,results/historical/selected_run_summaries/07_multihop_confirmatory.md
20,selection_regret_audit_summary,selection_regret_audit,2026-08-07,MultiHop-RAG selection audit,selection_audit,SELECTION_CORRECT_HELDOUT_REVERSAL,No selection-logic bug found; RAG Compass selected because validation evidence favored it; Optuna/TPE won only on held-out confirmatory split; selection regret 0.0017222850.,,,selection correct despite held-out reversal,optuna_tpe,0.0017222850,,,,,,,selection audit discipline,validated selection logic,Held-out reversal shows optimizer superiority unsupported.,Audit evidence.,summarized_project_record,results/historical/selected_run_summaries/08_selection_regret_audit.md
21,ragbench_hotpotqa_enablement_summary,ragbench_hotpotqa_enablement,2026-08-09,RAGBench HotpotQA,public_context_retrieval,END_TO_END_CONTEXT_RETRIEVAL_ELIGIBLE,HotpotQA upgraded to end-to-end context-retrieval eligible; RAGTune can vary retrieval/context assembly on a second public dataset; still not full corpus-backed.,,,not a superiority result,,,,,,,,,second public context-retrieval dataset,Not full corpus-backed.,Context-retrieval evidence only.,summarized_project_record,results/historical/selected_run_summaries/09_hotpotqa_context_retrieval.md
22,multi_corpus_v3_hotpotqa_summary,multi_corpus_v3,2026-08-09,MultiHop-RAG + HotpotQA,mixed_public_context_retrieval,MULTI_CORPUS_GOVERNANCE_INCONCLUSIVE,Dataset matrix v3 ready for context-retrieval multi-corpus; multi-corpus v3 inconclusive; natural governance v2 noninferior natural public; one natural divergence case.,,,no broad superiority claim,,,,,,,,,multi-corpus breadth improved,Governance inconclusive.,Mixed evidence; no broad generalization.,summarized_project_record,results/historical/selected_run_summaries/09_hotpotqa_context_retrieval.md
23,ragtune_crag_acquisition_adapter_v1_20260808-145753-5da4c48684,ragtune_crag_acquisition_adapter_v1,2026-08-08,CRAG,public_full_corpus_backed,CRAG_END_TO_END_CORPUS_BACKED_ELIGIBLE,"CRAG approved as noncommercial research-only; all-row streaming acquisition; rows read 2,706; web documents 9,848; confirmatory rows 571; leakage 0; raw SHA-256 matched expected LFS hash.",,,not optimizer evidence,,,,,,,,,full corpus-backed public dataset enabled,CRAG restrictions apply.,No raw CRAG redistribution.,summarized_project_record,results/historical/selected_run_summaries/10_crag_acquisition.md
24,ragtune_crag_readiness_gate_v1_20260808-150437-6ce2f98e0b,ragtune_crag_readiness_gate_v1,2026-08-08,CRAG,readiness_gate,READY_FOR_CRAG_EVALUATION,"Strict Git, streaming normalization, raw hash, zero leakage, confirmatory rows, and policy variation gates passed.",,,not optimizer evidence,,,,,,,,,CRAG ready for evaluation,Readiness gate only.,Readiness evidence.,summarized_project_record,results/historical/selected_run_summaries/10_crag_acquisition.md
25,ragtune_crag_governance_evaluation_v1_20260808-150441-16ab6bb0fd,ragtune_crag_governance_evaluation_v1,2026-08-08,CRAG web documents,public_full_corpus_backed,CRAG_GOVERNANCE_NONINFERIOR_NOT_SUPERIOR,"Governed and quality-only both selected top_k_high; delta 0.0; CI [0.0, 0.0]; win/tie/loss 0 / 571 / 0.",top_k_high,top_k_high,not primary winner,,0.0,0.0,0.0,0,571,0,Candidate external signal,CRAG web-document noninferiority,No governance superiority.,Full corpus-backed but noninferior only.,summarized_project_record,results/historical/selected_run_summaries/11_crag_web_document_governance.md
26,crag_mock_api_path_summary,crag_mock_api_path,2026-08-09,CRAG mock API,mock_api_path,MOCK_API_PATH_ENABLED_SMOKE_INCONCLUSIVE,Initial mock API source ready but server not run; later KG materialization and Python 3.11 / pandas 2.0.x compatible runtime enabled server path; smoke governance inconclusive.,,,not RAG Compass evidence,,,,,,,,,mock API path enabled,Smoke governance inconclusive.,No mock-API claims before server smoke.,summarized_project_record,results/historical/selected_run_summaries/12_crag_mock_api_validation.md
27,ragtune_crag_mock_api_validation_v1_20260809-165415-92d8c0edd4,ragtune_crag_mock_api_validation_v1,2026-08-09,CRAG mock API,public_full_corpus_mock_api_validation,MOCK_API_VALIDATION_GOVERNANCE_SUPERIOR,"Validation rows 431 / 431; confirmatory rows 571 / 571; API calls 14,172; failure rate 0.0; governance selected top_k_low over quality-only greedy_regression_aware_search; delta +0.0010025405; CI [0.0010022708, 0.0010028250]; win/tie/loss 571 / 0 / 0; superior in 14 / 15 cost-latency settings.",top_k_low,greedy_regression_aware_search,ranked 5th; not superiority evidence,greedy_regression_aware_search,0.0010025405,0.0010022708,0.0010028250,571,0,0,Candidate external signal,strongest current RAGTune governance result,"Does not support RAG Compass superiority, generative LLM validation, or human-eval validation.",Mock-API source/retrieval governance evidence only.,summarized_project_record,results/historical/selected_run_summaries/12_crag_mock_api_validation.md
28,natural_and_beneficial_divergence_summary,natural_divergence_and_beneficial_search,2026-08-09,natural public divergence outputs,natural_public_divergence,BENEFICIAL_GOVERNANCE_DIVERGENCE_MIXED,"Natural divergence adjudication mixed signal: 1 beneficial, 4 inconclusive, 0 harmful; beneficial divergence search found 1 / 5 beneficial.",,,not RAG Compass superiority evidence,,,,,1,,,Candidate external signal,first beneficial governance divergence,Evidence still limited.,"Natural public divergence, not broad superiority.",summarized_project_record,results/historical/selected_run_summaries/13_natural_divergence.md
29,human_eval_status_summary,human_eval_pilot,2026-08-09,human evaluation workflow,human_eval_readiness,READY_NOT_RUN,Human evaluation ready-not-run; 0 annotations collected.,,,unsupported,,,,,,,,,human-eval workflow readiness,Human-eval validation unsupported.,No human evaluation evidence.,summarized_project_record,results/historical/selected_run_summaries/15_unsupported_validation_areas.md
30,generator_path_status_summary,generator_path_enablement,2026-08-09,generator path,generator_readiness,GENERATOR_SKIPPED_NO_MODEL_OR_CREDENTIALS,Generator validation skipped because no pinned local model or hosted credentials were configured.,,,unsupported,,,,,,,,,generator path not available,Generative LLM validation unsupported.,No generative LLM validation.,summarized_project_record,results/historical/selected_run_summaries/15_unsupported_validation_areas.md
31,external_platform_status_summary,platform_integration_readiness,2026-08-09,LangSmith / Ragas / DeepEval / RAGChecker,platform_readiness,WORKFLOW_SIMULATIONS_ONLY,External platform checks remained workflow simulations/readiness only; no official integrations ran.,,,unsupported,,,,,,,,,workflow readiness only,Official platform benchmarking unsupported.,No official benchmark claim.,summarized_project_record,results/historical/selected_run_summaries/15_unsupported_validation_areas.md
32,rag_compass_niche_analysis_summary,ragtune_rag_compass_niche_analysis_v1,2026-08-09,all available RAG Compass runs,optimizer_secondary_analysis,RAG_COMPASS_CANDIDATE_ONLY_NO_CLEAR_NICHE,"RAG Compass remained a candidate optimizer; no clear niche; ranked 5th in CRAG mock-API validation; recommendation is to center RAGTune governance, not RAG Compass.",,,candidate only; no clear niche,,,,,,,,,secondary optimizer analysis,RAG Compass superiority unsupported.,Do not claim optimizer superiority.,summarized_project_record,results/historical/selected_run_summaries/14_rag_compass_niche_analysis.md
