run_id,suite,date,dataset,evidence_class,result_class,governed_winner,quality_only_winner,rag_compass_rank,delta,ci_low,ci_high,win_count,tie_count,loss_count,certificate,claim_status,artifact_path
ragtune_crag_generative_llm_validation_repeat_v1_20260810-public,GENERATIVE_LLM_VALIDATION_V1_1_REPEAT,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_repeat,GEN_LLM_GOVERNANCE_INCONCLUSIVE_CRAG,expanded_retrieval_multi_endpoint,expanded_retrieval_multi_endpoint,12,0.0,0.0,0.0,0.0,0.0,0.0,Not replicated,independent deterministic offset-24 repeat had usable quality but no operational gain,artifacts/generative_llm_validation/crag_repeat
ragtune_crag_generative_llm_validation_repeat_offset_36_v1_20260810-public,GENERATIVE_LLM_VALIDATION_V1_1_REPEAT,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_repeat,GEN_LLM_GOVERNANCE_INCONCLUSIVE_CRAG,expanded_retrieval_multi_endpoint,expanded_retrieval_multi_endpoint,5,0.0,0.0,0.0,0.0,0.0,0.0,Not replicated,independent deterministic offset-36 repeat had usable quality but no operational gain,artifacts/generative_llm_validation/crag_repeat_offset_36
ragtune_crag_generative_llm_validation_repeat_offset_60_v1_20260810-public,GENERATIVE_LLM_VALIDATION_V1_1_REPEAT,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_repeat,GEN_LLM_GOVERNANCE_INCONCLUSIVE_CRAG,constrained_quality_optimizer,adaptive_routing_on_insufficient_evidence,5,0.0,0.0,0.0,0.0,0.0,0.0,Not replicated,independent deterministic offset-60 repeat had usable quality but no cost gain,artifacts/generative_llm_validation/crag_repeat_offset_60
ragtune_crag_generative_stability_comparison_v1_20260810-public,GENERATIVE_LLM_VALIDATION_STABILITY_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_repeat,CRAG_GEN_LLM_COST_RESULT_NOT_STABLE_ACROSS_REPEATS,,,,,,,,,,Limiting evidence,one of four usable CRAG generative slices supported cost reduction; independent repeats did not reproduce it,results/generative_llm_validation/crag_stability_comparison.json
ragtune_crag_generative_second_model_gpt_oss_20b_offset_0_v1_20260810-public,GENERATIVE_LLM_VALIDATION_SECOND_MODEL_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_second_model,GEN_LLM_GOVERNANCE_INCONCLUSIVE_CRAG,adaptive_routing_on_insufficient_evidence,adaptive_routing_on_insufficient_evidence,8,0.0,0.0,0.0,0.0,0.0,0.0,Inconclusive,second pinned local model offset-0 run had usable quality but no cost gain,artifacts/generative_llm_validation/crag_second_model_gpt_oss_20b_offset_0
ragtune_crag_generative_second_model_gpt_oss_20b_offset_24_v1_20260810-public,GENERATIVE_LLM_VALIDATION_SECOND_MODEL_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_second_model,GEN_LLM_GOVERNANCE_INCONCLUSIVE_CRAG,constrained_quality_optimizer,adaptive_routing_on_insufficient_evidence,3,0.0,0.0,0.0,0.0,0.0,0.0,Inconclusive,second pinned local model offset-24 run had usable quality but no cost gain,artifacts/generative_llm_validation/crag_second_model_gpt_oss_20b_offset_24
ragtune_crag_generative_second_model_gpt_oss_20b_offset_36_v1_20260810-public,GENERATIVE_LLM_VALIDATION_SECOND_MODEL_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_second_model,GEN_LLM_GOVERNANCE_INCONCLUSIVE_CRAG,adaptive_routing_on_insufficient_evidence,adaptive_routing_on_insufficient_evidence,8,0.0,0.0,0.0,0.0,0.0,0.0,Inconclusive,second pinned local model offset-36 run had usable quality but no cost gain,artifacts/generative_llm_validation/crag_second_model_gpt_oss_20b_offset_36
ragtune_crag_generative_second_model_gpt_oss_20b_offset_60_v1_20260810-public,GENERATIVE_LLM_VALIDATION_SECOND_MODEL_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_second_model,GEN_LLM_GOVERNANCE_INCONCLUSIVE_CRAG,rag_compass_optional,rag_compass_optional,1,0.0,0.0,0.0,0.0,0.0,0.0,Inconclusive,second pinned local model offset-60 run had usable quality but no cost gain,artifacts/generative_llm_validation/crag_second_model_gpt_oss_20b_offset_60
ragtune_crag_generative_second_model_comparison_v1_20260810-public,GENERATIVE_LLM_VALIDATION_SECOND_MODEL_COMPARISON_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_second_model,CRAG_GEN_LLM_COST_RESULT_MIXED_OR_INCONCLUSIVE_ACROSS_MODELS,,,,,,,,,,Limiting evidence,qwen result was not stable and gpt-oss repeats had zero positive cost-result slices,results/generative_llm_validation/crag_second_model_comparison.json
ragtune_crag_generative_answer_emission_repair_llama3_2_3b_offset_0_v1_20260810-public,GENERATIVE_LLM_VALIDATION_ANSWER_EMISSION_REPAIR_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_fast_instruct_model,GEN_LLM_GOVERNANCE_INCONCLUSIVE_CRAG,quality_only_best_on_validation,expanded_retrieval_multi_endpoint,8,0.0,0.0,0.0,0.0,0.0,0.0,Inconclusive,llama3.2:3b offset-0 run had 176 / 176 nonempty answers and no cost gain,artifacts/generative_llm_validation/crag_llama3_2_3b_offset_0
ragtune_crag_generative_answer_emission_repair_llama3_2_3b_offset_24_v1_20260810-public,GENERATIVE_LLM_VALIDATION_ANSWER_EMISSION_REPAIR_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_fast_instruct_model,GEN_LLM_GOVERNANCE_INCONCLUSIVE_CRAG,rag_compass_optional,rag_compass_optional,1,0.0,0.0,0.0,0.0,0.0,0.0,Inconclusive,llama3.2:3b offset-24 run had 176 / 176 nonempty answers and no cost gain,artifacts/generative_llm_validation/crag_llama3_2_3b_offset_24
ragtune_crag_generative_answer_emission_repair_llama3_2_3b_offset_36_v1_20260810-public,GENERATIVE_LLM_VALIDATION_ANSWER_EMISSION_REPAIR_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_fast_instruct_model,GEN_LLM_GOVERNANCE_INCONCLUSIVE_CRAG,constrained_quality_optimizer,adaptive_routing_on_insufficient_evidence,5,0.0,0.0,0.0,0.0,0.0,0.0,Inconclusive,llama3.2:3b offset-36 run had 176 / 176 nonempty answers and no cost gain,artifacts/generative_llm_validation/crag_llama3_2_3b_offset_36
ragtune_crag_generative_answer_emission_repair_llama3_2_3b_offset_60_v1_20260810-public,GENERATIVE_LLM_VALIDATION_ANSWER_EMISSION_REPAIR_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_fast_instruct_model,GEN_LLM_GOVERNANCE_INCONCLUSIVE_CRAG,adaptive_routing_on_insufficient_evidence,adaptive_routing_on_insufficient_evidence,5,0.0,0.0,0.0,0.0,0.0,0.0,Inconclusive,llama3.2:3b offset-60 run had 176 / 176 nonempty answers and no cost gain,artifacts/generative_llm_validation/crag_llama3_2_3b_offset_60
ragtune_crag_generative_answer_emission_model_comparison_v1_20260810-public,GENERATIVE_LLM_VALIDATION_ANSWER_EMISSION_REPAIR_COMPARISON_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_fast_instruct_model,CRAG_GEN_LLM_ANSWER_EMISSION_REPAIRED_NO_COST_RESULT,,,,,,,,,,Limiting evidence,llama3.2:3b reduced parse failures from 362 / 528 to 0 / 704 but did not recover cost-at-equivalent-generated-quality,results/generative_llm_validation/crag_answer_emission_model_comparison.json
ragtune_crag_generative_latency_selector_llama3_2_3b_offset_0_v1_20260810-public,GENERATIVE_LLM_VALIDATION_LATENCY_SELECTOR_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_latency_endpoint,GEN_LLM_GOVERNANCE_OPERATIONAL_GAIN_QUALITY_LOSS_CRAG,static_default_policy,expanded_retrieval_multi_endpoint,8,-0.0238125000,-0.1000000000,0.0000000000,,,,Limiting evidence,latency/API-call reduction with generated-quality loss,artifacts/generative_llm_validation/crag_llama3_2_3b_latency_selector_offset_0
ragtune_crag_generative_latency_selector_llama3_2_3b_offset_24_v1_20260810-public,GENERATIVE_LLM_VALIDATION_LATENCY_SELECTOR_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_latency_endpoint,GEN_LLM_GOVERNANCE_REDUCES_LATENCY_AT_EQUIVALENT_GENERATED_QUALITY_CRAG,static_default_policy,expanded_retrieval_multi_endpoint,1,-0.0064814815,-0.1000000000,0.0000000000,,,,Bounded support,latency reduction at equivalent generated quality on one fixed-offset slice,artifacts/generative_llm_validation/crag_llama3_2_3b_latency_selector_offset_24
ragtune_crag_generative_latency_selector_llama3_2_3b_offset_36_v1_20260810-public,GENERATIVE_LLM_VALIDATION_LATENCY_SELECTOR_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_latency_endpoint,GEN_LLM_GOVERNANCE_OPERATIONAL_GAIN_QUALITY_LOSS_CRAG,static_default_policy,expanded_retrieval_multi_endpoint,5,-0.0186666667,-0.1000000000,0.0000000000,,,,Limiting evidence,latency/API-call reduction with generated-quality loss,artifacts/generative_llm_validation/crag_llama3_2_3b_latency_selector_offset_36
ragtune_crag_generative_latency_selector_llama3_2_3b_offset_60_v1_20260810-public,GENERATIVE_LLM_VALIDATION_LATENCY_SELECTOR_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_latency_endpoint,GEN_LLM_GOVERNANCE_OPERATIONAL_GAIN_QUALITY_LOSS_CRAG,static_default_policy,expanded_retrieval_multi_endpoint,5,-0.0333333333,-0.3000000000,0.0000000000,,,,Limiting evidence,latency/API-call reduction with generated-quality loss,artifacts/generative_llm_validation/crag_llama3_2_3b_latency_selector_offset_60
ragtune_crag_generative_latency_selector_stability_v1_20260810-public,GENERATIVE_LLM_VALIDATION_LATENCY_SELECTOR_STABILITY_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_latency_endpoint,CRAG_GEN_LLM_LATENCY_RESULT_MIXED_ACROSS_REPEATS,static_default_policy,expanded_retrieval_multi_endpoint,,,,,,,,Mixed,one of four unguarded fixed-offset slices met latency-at-equivalent-generated-quality and three were quality-loss,artifacts/generative_llm_validation/crag_llama3_2_3b_latency_selector_offset_24
ragtune_crag_generative_guarded_latency_llama3_2_3b_offset_0_v1_20260810-public,GENERATIVE_LLM_VALIDATION_GUARDED_LATENCY_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_guarded_latency_endpoint,GEN_LLM_GOVERNANCE_INCONCLUSIVE_CRAG,quality_guarded_latency_adaptive_expansion,expanded_retrieval_multi_endpoint,9,0.0000000000,0.0000000000,0.0000000000,,,,Inconclusive,quality-risk guardrail preserved generated quality but latency CI crossed zero,artifacts/generative_llm_validation/crag_llama3_2_3b_guarded_latency_offset_0
ragtune_crag_generative_guarded_latency_llama3_2_3b_offset_24_v1_20260810-public,GENERATIVE_LLM_VALIDATION_GUARDED_LATENCY_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_guarded_latency_endpoint,GEN_LLM_GOVERNANCE_INCONCLUSIVE_CRAG,quality_guarded_latency_adaptive_expansion,expanded_retrieval_multi_endpoint,1,0.0101851852,-0.0388888889,0.0000000000,,,,Inconclusive,quality-risk guardrail preserved generated quality but latency CI crossed zero,artifacts/generative_llm_validation/crag_llama3_2_3b_guarded_latency_offset_24
ragtune_crag_generative_guarded_latency_llama3_2_3b_offset_36_v1_20260810-public,GENERATIVE_LLM_VALIDATION_GUARDED_LATENCY_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_guarded_latency_endpoint,GEN_LLM_GOVERNANCE_INCONCLUSIVE_CRAG,quality_guarded_latency_adaptive_expansion,expanded_retrieval_multi_endpoint,5,0.0000000000,0.0000000000,0.0000000000,,,,Inconclusive,quality-risk guardrail preserved generated quality but latency CI crossed zero,artifacts/generative_llm_validation/crag_llama3_2_3b_guarded_latency_offset_36
ragtune_crag_generative_guarded_latency_llama3_2_3b_offset_60_v1_20260810-public,GENERATIVE_LLM_VALIDATION_GUARDED_LATENCY_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_guarded_latency_endpoint,GEN_LLM_GOVERNANCE_INCONCLUSIVE_CRAG,quality_guarded_latency_adaptive_expansion,expanded_retrieval_multi_endpoint,6,0.0000000000,0.0000000000,0.0000000000,,,,Inconclusive,quality-risk guardrail preserved generated quality but latency CI crossed zero,artifacts/generative_llm_validation/crag_llama3_2_3b_guarded_latency_offset_60
ragtune_crag_generative_guarded_latency_stability_v1_20260810-public,GENERATIVE_LLM_VALIDATION_GUARDED_LATENCY_STABILITY_V1,2026-08-10,CRAG,crag_generative_validation_sanitized_bounded_guarded_latency_endpoint,CRAG_GEN_LLM_LATENCY_RESULT_INCONCLUSIVE_ACROSS_REPEATS,quality_guarded_latency_adaptive_expansion,expanded_retrieval_multi_endpoint,,,,,,,,Inconclusive,quality-risk guardrail avoided quality-loss result classes but no slice met latency-reduction CI gate,results/generative_llm_validation/crag_stability_comparison.json
ragtune_generative_llm_validation_synthesis_v1_1_20260810-public,GENERATIVE_LLM_VALIDATION_SYNTHESIS_V1_1,2026-08-10,CRAG plus HotpotQA,generative_synthesis,GEN_LLM_SYNTHESIS_MIXED,,,,,,,,,,Mixed,primary qwen CRAG positive but repeats and second model did not support stable cost reduction; guarded llama3.2 latency selector was inconclusive; HotpotQA inconclusive,results/generative_llm_validation
